book_id	avg_gpe_hop_mob
00004005	1.6
00020690	0.0
00023581	5.1
eaf172	0.4
00024963	8.5
00026086	1.3
00022384	0.5
00011431	2.4
00001233	2.2
25519	16.6
eaf386v2	0.8
00023112	1.7
00020322	1.3
00021572	1.7
Wright2-0118	0.4
00024159	7.1
Wright2-2484	0.7
00003576	3.8
00020619	24.0
00023901	3.1
00025648	5.0
00023228	4.1
00011908	7.1
00020328	10.3
00004424	0.0
00020391	2.1
00020016	4.3
00025721	4.3
00024419	5.3
00010556	1.9
00023643	1.1
00025720	1.3
00023025	6.4
24552	6.8
00022131	4.4
00022286	20.9
00002424	1.4
00004475	0.9
00011417	2.1
Wright2-0702	0.1
00023596	4.0
00022443	5.5
00025262	2.5
00021265	1.9
00011654	2.9
00023512	3.2
Wright2-1703	0.3
Wright2-1121	1.7
00010877	2.9
00010698	1.3
00026205	1.5
00024490	8.7
00024481	14.3
00023687	3.7
00022416	3.9
00020524	2.7
00023464	8.0
00010399	0.1
00021963	6.5
00020163	1.2
Wright2-1788	1.6
00002598	3.9
00010457	1.4
00024114	7.2
00021477	5.5
00023967	13.6
00010465	2.8
00023848	6.8
00022515	7.1
00024050	2.0
00002703	0.7
00023285	9.7
00025515	1.7
00010322	4.0
00021482	6.2
Wright2-0598	0.5
00004736	1.7
00011402	5.7
00021849	1.7
00024912	3.2
00022713	1.6
00011844	14.8
00024650	2.9
00020997	1.0
00003497	0.5
00010809	0.2
00003377	10.5
00011111	0.0
00020922	0.7
00021861	18.1
00010847	13.7
00022571	2.2
00025319	11.4
00024720	5.7
00010950	3.3
00023491	1.1
00025759	9.8
00020446	1.1
Wright2-0125	0.0
eaf090	0.0
00024552	6.8
00021730	3.4
00022022	8.7
00025905	2.3
00021219	1.6
00022754	2.2
00024230	0.2
00023891	4.2
00024099	8.4
00020865	4.1
eaf138v1	1.0
00011141	3.0
00020760	1.8
00024312	2.5
00011450	2.3
00010464	0.1
00022925	2.4
00024022	2.6
00026141	5.7
00023193	4.6
00021139	2.4
00020656	28.3
00024574	11.3
00023946	1.8
00023898	6.2
00004426	0.3
00010712	10.2
00025548	7.6
00022622	0.6
00011588	2.1
00022247	12.1
00024079	2.5
00011719	1.4
00011276	1.8
00021575	0.0
00025443	5.0
00025749	7.0
00020103	0.0
Wright2-0993A	0.0
00021047	6.0
00011384	3.9
00002316	0.0
00022283	20.1
00021529	7.2
00021992	2.8
00020695	2.4
00002733	0.5
Wright2-2767	0.0
00011585	22.3
00020669	2.0
00024587	3.6
00023375	1.0
00010438	1.7
00023031	3.5
00025420	3.3
00011358	0.1
00024037	3.0
00025830	4.6
eaf321v2	0.2
00023089	0.0
00024297	0.9
00000126	3.0
Wright2-0611	4.2
00026133	4.8
00021369	3.3
00011747	6.2
00024584	4.9
00021621	1.7
00003953	1.2
00023293	0.4
00020925	12.2
00020283	25.8
00023656	11.1
00020371	0.7
00022170	7.6
00023923	3.4
00022778	3.1
Wright2-1156	0.0
00011004	0.7
00025996	2.8
00025055	1.9
00022327	9.5
00004821	4.5
00021505	0.8
00023696	3.9
00023161	4.2
00011565	1.6
Wright2-2480	0.5
Wright2-0613	3.8
00011428	3.0
00023419	20.3
00023084	5.8
00000593	3.0
00024332	1.5
00022275	3.3
00003798	3.3
00022256	20.0
Wright2-0432	0.0
Wright2-1039A	0.1
00023760	5.1
00024287	10.0
00025907	4.2
00024805	31.0
00011171	2.7
00002448	4.3
00023636	7.2
00011743	1.6
00000706	1.2
00020607	2.1
00021761	2.8
00021469	4.8
00022866	0.1
00010590	1.6
00011734	1.7
00021496	9.5
00020380	12.4
Wright2-2327	5.4
00024636	14.6
00002854	3.5
00011342	12.5
00021548	2.7
00026049	2.4
00020917	2.2
eaf323	0.0
00025009	3.9
00011849	2.0
Wright2-0228	0.5
00011547	0.0
00010221	7.1
00004815	1.0
00010759	1.7
00020750	2.1
00021967	7.6
00024138	3.1
00011711	0.3
00022050	1.7
00010301	7.5
00004129	0.3
00004710	3.2
00022549	14.5
00024103	15.4
00020094	2.9
00022269	1.7
00004551	0.6
00022326	3.9
00004112	1.4
00020764	2.3
00021304	1.6
00011028	2.5
00021353	16.2
00022695	9.0
00010369	2.2
00023236	0.9
00003170	1.9
00011539	4.2
00022207	4.0
00024491	14.8
00010693	1.8
00000877	3.5
00011419	3.7
00026175	3.3
00023149	5.9
00021910	15.1
00011201	1.5
00021507	6.4
00011356	5.4
00004683	4.0
00023563	0.6
00025786	14.2
00024294	6.1
00011347	3.0
00010358	2.4
00011299	0.4
00025204	3.0
00025387	0.8
00000310	0.5
00024166	2.6
00020235	0.6
00025971	3.3
00021594	1.3
00011436	2.7
00020570	8.7
Wright2-1454	0.7
00024612	3.6
00010743	0.1
Wright2-1756	1.2
Wright2-0638	8.3
00003980	5.4
00024407	4.9
00021396	9.1
00025753	9.2
00021698	3.0
00011596	0.9
00010792	1.8
00022109	19.3
00021064	0.9
00021243	3.7
00010798	0.4
00002180	0.7
00026126	11.1
00000368	1.3
00020501	1.1
00025966	4.6
00020104	2.2
Wright2-1004	4.0
00004285	1.6
00025666	9.4
00020404	0.7
00003886	6.1
00026225	3.3
00020500	0.5
00022624	11.4
Wright2-0802	0.0
00010487	10.4
00011246	0.9
Wright2-0862	1.0
00011085	3.6
00026108	2.9
00023860	3.9
00023722	3.6
eaf164	1.5
00010631	0.0
00020384	0.6
00024698	7.0
00023144	7.9
00025314	1.0
25362	8.1
