book_id	avg_all_hop_mob
00004005	29.7
00020690	28.2
00023581	47.9
eaf172	8.6
00024963	49.6
00026086	11.1
00022384	19.2
00011431	31.2
00001233	16.8
25519	67.4
eaf386v2	21.2
00023112	28.8
00020322	13.4
00021572	24.7
Wright2-0118	27.9
00024159	58.4
Wright2-2484	9.4
00003576	36.9
00020619	58.9
00023901	28.2
00025648	48.5
00023228	45.5
00011908	68.2
00020328	61.8
00004424	0.1
00020391	35.5
00020016	35.2
00025721	47.6
00024419	34.5
00010556	64.3
00023643	30.7
00025720	22.3
00023025	83.8
24552	51.0
00022131	62.1
00022286	77.7
00002424	25.4
00004475	12.9
00011417	14.7
Wright2-0702	18.8
00023596	72.2
00022443	63.9
00025262	48.1
00021265	29.4
00011654	45.7
00023512	32.6
Wright2-1703	24.1
Wright2-1121	17.8
00010877	23.8
00010698	19.4
00026205	45.7
00024490	34.2
00024481	80.0
00023687	42.8
00022416	65.6
00020524	28.0
00023464	61.6
00010399	20.5
00021963	60.4
00020163	28.6
Wright2-1788	8.3
00002598	32.9
00010457	25.6
00024114	47.8
00021477	36.4
00023967	80.1
00010465	35.6
00023848	91.0
00022515	55.7
00024050	53.6
00002703	3.1
00023285	70.3
00025515	24.0
00010322	74.7
00021482	56.8
Wright2-0598	21.5
00004736	27.2
00011402	23.9
00021849	33.1
00024912	72.4
00022713	16.0
00011844	85.1
00024650	61.2
00020997	5.8
00003497	11.5
00010809	35.4
00003377	66.2
00011111	3.2
00020922	23.4
00021861	79.6
00010847	56.3
00022571	26.0
00025319	77.2
00024720	64.2
00010950	51.3
00023491	26.9
00025759	55.1
00020446	28.3
Wright2-0125	17.2
eaf090	0.9
00024552	51.0
00021730	19.9
00022022	60.9
00025905	45.0
00021219	28.9
00022754	33.9
00024230	28.7
00023891	48.8
00024099	70.0
00020865	31.3
eaf138v1	9.5
00011141	19.0
00020760	52.0
00024312	78.3
00011450	34.9
00010464	65.6
00022925	83.3
00024022	37.9
00026141	96.9
00023193	47.2
00021139	22.0
00020656	90.3
00024574	50.6
00023946	21.5
00023898	46.8
00004426	12.7
00010712	53.4
00025548	69.8
00022622	42.5
00011588	37.3
00022247	81.2
00024079	54.5
00011719	27.3
00011276	44.2
00021575	19.9
00025443	39.6
00025749	48.5
00020103	18.6
Wright2-0993A	3.2
00021047	39.5
00011384	43.1
00002316	22.4
00022283	86.0
00021529	55.0
00021992	43.7
00020695	21.7
00002733	11.2
Wright2-2767	13.2
00011585	103.5
00020669	47.7
00024587	57.6
00023375	29.5
00010438	63.9
00023031	44.5
00025420	43.5
00011358	6.5
00024037	64.5
00025830	62.0
eaf321v2	2.2
00023089	18.9
00024297	23.6
00000126	70.4
Wright2-0611	28.2
00026133	71.2
00021369	27.8
00011747	44.7
00024584	36.4
00021621	32.7
00003953	50.1
00023293	15.7
00020925	79.3
00020283	108.1
00023656	68.1
00020371	32.2
00022170	80.8
00023923	57.0
00022778	57.9
Wright2-1156	21.3
00011004	21.4
00025996	53.0
00025055	32.7
00022327	71.2
00004821	47.5
00021505	34.4
00023696	58.3
00023161	56.3
00011565	31.2
Wright2-2480	2.3
Wright2-0613	26.1
00011428	21.5
00023419	102.1
00023084	62.6
00000593	40.6
00024332	35.9
00022275	34.3
00003798	34.1
00022256	78.1
Wright2-0432	3.2
Wright2-1039A	5.7
00023760	32.1
