book_id	avg_nongpe_hop_mob
00004005	27.1
00020690	28.1
00023581	39.6
eaf172	8.1
00024963	37.4
00026086	8.9
00022384	17.3
00011431	27.5
00001233	13.8
25519	47.1
eaf386v2	19.4
00023112	26.2
00020322	11.6
00021572	22.4
Wright2-0118	26.9
00024159	48.5
Wright2-2484	7.9
00003576	30.3
00020619	32.1
00023901	23.0
00025648	41.1
00023228	39.6
00011908	58.4
00020328	47.3
00004424	0.1
00020391	32.1
00020016	30.1
00025721	41.5
00024419	26.6
00010556	60.9
00023643	28.9
00025720	19.9
00023025	75.3
24552	42.5
00022131	55.8
00022286	53.1
00002424	23.5
00004475	10.3
00011417	11.3
Wright2-0702	17.9
00023596	66.5
00022443	56.6
00025262	44.1
00021265	26.1
00011654	41.1
00023512	27.9
Wright2-1703	23.3
Wright2-1121	14.9
00010877	18.8
00010698	17.0
00026205	42.2
00024490	23.3
00024481	60.8
00023687	36.7
00022416	59.0
00020524	24.7
00023464	50.3
00010399	19.8
00021963	50.5
00020163	26.9
Wright2-1788	6.3
00002598	27.3
00010457	23.0
00024114	37.0
00021477	29.6
00023967	63.9
00010465	31.4
00023848	82.3
00022515	45.9
00024050	50.5
00002703	1.8
00023285	58.0
00025515	21.1
00010322	67.5
00021482	48.8
Wright2-0598	20.4
00004736	22.7
00011402	16.8
00021849	30.5
00024912	66.3
00022713	13.0
00011844	65.2
00024650	57.0
00020997	3.4
00003497	10.5
00010809	34.8
00003377	52.3
00011111	2.8
00020922	22.0
00021861	52.8
00010847	37.6
00022571	21.7
00025319	62.8
00024720	56.6
00010950	47.0
00023491	24.8
00025759	41.6
00020446	26.1
Wright2-0125	16.8
eaf090	0.8
00024552	42.5
00021730	15.2
00022022	49.9
00025905	41.4
00021219	26.5
00022754	29.3
00024230	27.6
00023891	42.9
00024099	59.5
00020865	25.3
eaf138v1	7.8
00011141	14.3
00020760	49.4
00024312	74.4
00011450	29.9
00010464	64.7
00022925	78.8
00024022	34.0
00026141	87.0
00023193	41.0
00021139	18.1
00020656	57.9
00024574	37.7
00023946	18.2
00023898	39.3
00004426	11.6
00010712	40.4
00025548	59.9
00022622	41.5
00011588	33.3
00022247	66.6
00024079	50.7
00011719	25.0
00011276	41.0
00021575	19.6
00025443	32.5
00025749	40.1
00020103	18.5
Wright2-0993A	2.8
00021047	31.0
00011384	37.1
00002316	22.0
00022283	58.5
00021529	45.9
00021992	39.8
00020695	17.7
00002733	9.8
Wright2-2767	12.8
00011585	75.1
00020669	44.0
00024587	51.8
00023375	27.4
00010438	60.3
00023031	38.7
00025420	37.4
00011358	5.8
00024037	59.8
00025830	54.9
eaf321v2	1.8
00023089	18.5
00024297	21.1
00000126	61.5
Wright2-0611	22.0
00026133	60.8
00021369	22.5
00011747	36.4
00024584	30.3
00021621	29.8
00003953	47.4
00023293	14.6
00020925	63.9
00020283	73.7
00023656	53.7
00020371	30.2
00022170	70.7
00023923	51.8
00022778	52.9
Wright2-1156	20.8
00011004	20.0
00025996	47.1
00025055	30.0
00022327	59.0
00004821	39.6
00021505	32.9
00023696	52.1
00023161	49.7
00011565	28.1
Wright2-2480	1.2
Wright2-0613	20.9
00011428	16.7
00023419	76.2
00023084	51.8
00000593	34.9
00024332	31.9
00022275	29.3
00003798	29.0
00022256	48.9
Wright2-0432	2.7
Wright2-1039A	5.3
00023760	25.8
00024287	21.8
00025907	58.5
00024805	74.2
00011171	15.4
00002448	26.0
00023636	63.0
00011743	33.0
00000706	9.3
00020607	27.1
00021761	40.0
00021469	66.6
00022866	12.2
00010590	1.4
00011734	20.1
00021496	42.1
00020380	58.5
Wright2-2327	45.6
00024636	72.2
00002854	11.1
00011342	51.8
00021548	23.3
00026049	25.4
00020917	31.2
eaf323	6.1
00025009	53.3
00011849	20.5
Wright2-0228	14.8
00011547	9.4
00010221	60.1
00004815	27.1
00010759	32.8
00020750	17.1
00021967	102.1
00024138	70.9
00011711	0.3
00022050	23.4
00010301	30.7
00004129	18.4
00004710	25.5
